2026-05-04 21:25:55 | api | INFO | Loading TrialSearcher...
2026-05-04 21:26:05 | api | INFO | TrialSearcher ready
2026-05-04 21:28:36 | api | INFO | Matching trials for patient age=60 gender=female
2026-05-04 21:34:48 | api | INFO | Loading TrialSearcher...
2026-05-04 21:34:55 | api | INFO | TrialSearcher ready
2026-05-04 21:35:51 | api | INFO | Matching trials for age=65 gender=male
2026-05-04 21:38:29 | api | INFO | Loading TrialSearcher...
2026-05-04 21:38:36 | api | INFO | TrialSearcher ready
2026-05-04 21:38:36 | api | INFO | Loading TrialSearcher...
2026-05-04 21:38:40 | api | INFO | TrialSearcher ready
2026-05-04 21:38:40 | api | INFO | Loading TrialSearcher...
2026-05-04 21:38:44 | api | INFO | TrialSearcher ready
2026-05-04 21:38:44 | api | INFO | Matching trials for age=45 gender=female
2026-05-04 21:38:44 | api | INFO | Loading TrialSearcher...
2026-05-04 21:38:47 | api | INFO | TrialSearcher ready
2026-05-05 21:42:41 | api | INFO | Loading TrialSearcher...
2026-05-05 21:42:54 | api | INFO | TrialSearcher ready
2026-05-05 21:43:45 | api | INFO | Matching trials for age=78 gender=female
2026-05-05 21:50:46 | api | INFO | Loading TrialSearcher...
2026-05-05 21:50:55 | api | INFO | TrialSearcher ready
2026-05-05 21:50:56 | api | INFO | Matching trials for age=60 gender=female
